Paper,run,submarine,Particle_type,Conserv,u3ghw,u2ghs,Uave[m/s],height,Fr,B,S1,S2,S3,slope,mu[kg/ms],ws[m/s],Cprofile
vanMaren,,subaerial,,Non-Conservative,1554.377,,,,,0.02276066037736,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1532.608,,,,,0.02030869811321,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,388.945,,,,,0.02549218867925,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1857.698,,,,,0.02796843396226,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,2117.518,,,,,0.03086496226415,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,2066.342,,,,,0.0250999245283,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,2023.816,,,,,0.04510041509434,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1830.767,,,,,0.03891198113208,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,3148.344,,,,,0.05085735849057,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1614.218,,,,,0.06970720754717,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1222.97,,,,,0.05947533962264,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1090.919,,,,,0.07113803773585,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1176.425,,,,,0.07865581132075,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1135.969,,,,,0.10323956603774,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1404.436,,,,,0.11224171698113,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1558.282,,,,,0.09982250943396,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1932.08,,,,,0.09765135849057,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,2137.999,,,,,0.12184720754717,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1785.632,,,,,0.12349720754717,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,2836.027,,,,,0.11932426415094,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,2902.144,,,,,0.13772145283019,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1197.347,,,,,0.13344888679245,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1415.277,,,,,0.14969235849057,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1713.755,,,,,0.15039532075472,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1607.079,,,,,0.18535290566038,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1476.899,,,,,0.19941962264151,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1723.843,,,,,0.21211279245283,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1495.526,,,,,0.24746201886792,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1242.603,,,,,0.19905164150943,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1131.702,,,,,0.18574641509434,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,981.799,,,,,0.206448,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,831.643,,,,,0.19191118867925,,,,,,,FALSE
